Geography,Date,Weekly Cases,Weekly Deaths
United States,Nov 30 2022,303101,1780
United States,Nov 23 2022,306856,2634
United States,Nov 16 2022,281477,2239
United States,Nov 9 2022,290476,2327
United States,Nov 2 2022,274224,2465
United States,Oct 26 2022,262360,2563
United States,Oct 19 2022,261176,2502
United States,Oct 12 2022,265303,2549
United States,Oct 5 2022,320091,3011
United States,Sep 28 2022,342518,2901
United States,Sep 21 2022,397067,3128
United States,Sep 14 2022,472352,3206
United States,Sep 7 2022,525045,2931
United States,Aug 31 2022,616431,3943
United States,Aug 24 2022,651805,3123
United States,Aug 17 2022,693823,3247
United States,Aug 10 2022,772602,3621
United States,Aug 3 2022,836908,3535
United States,Jul 27 2022,925574,3162
United States,Jul 20 2022,905703,2831
United States,Jul 13 2022,864786,2708
United States,Jul 6 2022,779194,2405
United States,Jun 29 2022,772127,2568
United States,Jun 22 2022,693178,2051
United States,Jun 15 2022,726149,2186
United States,Jun 8 2022,773241,2327
United States,Jun 1 2022,714571,2113
United States,May 25 2022,775703,2655
United States,May 18 2022,699703,2268
United States,May 11 2022,582695,2374
United States,May 4 2022,450495,2774
United States,Apr 27 2022,366655,2931
United States,Apr 20 2022,293411,3061
United States,Apr 13 2022,226983,3756
United States,Apr 6 2022,194114,3834
United States,Mar 30 2022,192969,5024
United States,Mar 23 2022,192813,5739
United States,Mar 16 2022,212220,8065
United States,Mar 9 2022,268677,9131
United States,Mar 2 2022,366844,10658
United States,Feb 23 2022,545268,12554
United States,Feb 16 2022,921145,14889
United States,Feb 9 2022,1480985,16045
United States,Feb 2 2022,2689259,17260
United States,Jan 26 2022,4405230,16941
United States,Jan 19 2022,5607184,14228
United States,Jan 12 2022,5497339,13266
United States,Jan 5 2022,4132098,9616
United States,Dec 29 2021,2144116,10004
United States,Dec 22 2021,1161193,11648
United States,Dec 15 2021,838875,9584
United States,Dec 8 2021,843130,11250
United States,Dec 1 2021,614347,7248
United States,Nov 24 2021,669089,8058
United States,Nov 17 2021,613997,7465
United States,Nov 10 2021,537842,8273
United States,Nov 3 2021,503816,8541
United States,Oct 27 2021,505888,9618
United States,Oct 20 2021,533757,11958
United States,Oct 13 2021,618482,11180
United States,Oct 6 2021,706132,12633
United States,Sep 29 2021,800856,13989
United States,Sep 22 2021,920453,14392
United States,Sep 15 2021,1086160,13861
United States,Sep 8 2021,1067724,10982
United States,Sep 1 2021,1177330,10210
United States,Aug 25 2021,1011100,7888
United States,Aug 18 2021,1002221,6139
United States,Aug 11 2021,903058,4909
United States,Aug 4 2021,671475,3049
United States,Jul 28 2021,454293,2365
United States,Jul 21 2021,288898,1977
United States,Jul 14 2021,179081,1906
United States,Jul 7 2021,109655,1679
United States,Jun 30 2021,93905,1919
United States,Jun 23 2021,82245,2024
United States,Jun 16 2021,86703,2326
United States,Jun 9 2021,100014,2744
United States,Jun 2 2021,111276,3702
United States,May 26 2021,161376,3963
United States,May 19 2021,208745,4058
United States,May 12 2021,253682,4363
United States,May 5 2021,325985,5094
United States,Apr 28 2021,369887,5049
United States,Apr 21 2021,446820,5065
United States,Apr 14 2021,497076,5311
United States,Apr 7 2021,458853,7125
United States,Mar 31 2021,448429,6329
United States,Mar 24 2021,402911,7294
United States,Mar 17 2021,382276,7514
United States,Mar 10 2021,392702,9803
United States,Mar 3 2021,443805,13633
United States,Feb 24 2021,476520,13858
United States,Feb 17 2021,539607,14337
United States,Feb 10 2021,727593,19137
United States,Feb 3 2021,956095,21184
United States,Jan 27 2021,1141083,22491
United States,Jan 20 2021,1378777,21562
United States,Jan 13 2021,1709913,23372
United States,Jan 6 2021,1605004,19327
United States,Dec 30 2020,1302126,16914
United States,Dec 23 2020,1500180,19314
United States,Dec 16 2020,1525678,18535
United States,Dec 9 2020,1480879,16572
United States,Dec 2 2020,1172769,12620
United States,Nov 25 2020,1252035,12695
United States,Nov 18 2020,1143668,9725
United States,Nov 11 2020,919114,8360
United States,Nov 4 2020,704393,7253
United States,Oct 28 2020,528199,6271
United States,Oct 21 2020,433950,5976
United States,Oct 14 2020,371613,5310
United States,Oct 7 2020,318346,5003
United States,Sep 30 2020,296223,5158
United States,Sep 23 2020,306136,5445
United States,Sep 16 2020,271454,5774
United States,Sep 9 2020,255772,5222
United States,Sep 2 2020,289589,6105
United States,Aug 26 2020,296114,6594
United States,Aug 19 2020,330729,7016
United States,Aug 12 2020,377308,7309
United States,Aug 5 2020,398160,7374
United States,Jul 29 2020,450985,7537
United States,Jul 22 2020,467116,6113
United States,Jul 15 2020,441043,5436
United States,Jul 8 2020,369724,4471
United States,Jul 1 2020,311577,3860
United States,Jun 24 2020,219289,4083
United States,Jun 17 2020,158861,4603
United States,Jun 10 2020,142602,5085
United States,Jun 3 2020,145006,6492
United States,May 27 2020,145764,6795
United States,May 20 2020,157613,9510
United States,May 13 2020,159596,10381
United States,May 6 2020,188209,12723
United States,Apr 29 2020,197473,13825
United States,Apr 22 2020,199098,15392
United States,Apr 15 2020,207089,15527
United States,Apr 8 2020,219428,12632
United States,Apr 1 2020,158490,5437
United States,Mar 25 2020,60195,1154
United States,Mar 18 2020,8100,135
United States,Mar 11 2020,1166,9
United States,Mar 4 2020,112,6
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb 5 2020,10,0
United States,Jan 29 2020,6,0
